run,lumi,evtid,category
1,10,32089,eeem
1,10,32186,eeem
1,10,32335,eeem
1,205,681566,eeem
1,206,685481,eeem
1,257,855695,eeem
1,258,858547,eeem
1,363,1208105,eeem
1,363,1208112,eeem
1,363,1208841,eeem
1,363,1208985,eeem
1,364,1210261,eeem
1,364,1211898,eeem
1,491,1633600,eeem
1,491,1635994,eeem
1,207,687324,eeem
1,207,689365,eeem
1,207,689626,eeem
1,208,690699,eeem
1,208,693183,eeem
1,492,1637769,eeem
1,233,773285,eeem
1,233,776347,eeem
1,233,776450,eeem
1,234,776923,eeem
1,234,777934,eeem
1,234,777946,eeem
1,234,778446,eeem
1,234,779353,eeem
1,234,779739,eeem
1,301,1002541,eeem
1,302,1004880,eeem
1,303,1007880,eeem
1,303,1008954,eeem
1,303,1009531,eeem
1,304,1011231,eeem
1,117,388936,eeem
1,118,391594,eeem
1,118,391731,eeem
1,118,392015,eeem
1,118,393281,eeem
1,118,393285,eeem
1,50,165301,eeem
1,42,137207,eeem
1,42,138286,eeem
