run,lumi,evtid,category
1,318,2173144,mmem
1,318,2175027,mmem
1,84,1410613,mmem
1,138,1582449,mmem
1,138,1582991,mmem
1,492,2740837,mmem
1,492,2741038,mmem
1,81,1402451,mmem
1,141,1592470,mmem
1,141,1593047,mmem
1,240,1917540,mmem
1,371,2351980,mmem
1,371,2352633,mmem
1,490,1630679,mmem
1,490,1632369,mmem
1,490,1633105,mmem
1,126,1543295,mmem
1,126,1545673,mmem
1,129,1554321,mmem
1,129,1554648,mmem
1,171,1689136,mmem
1,236,1903370,mmem
1,236,1904015,mmem
1,386,2399824,mmem
1,422,2519822,mmem
1,322,2186970,mmem
1,322,2188359,mmem
1,8,24732,mmem
1,46,150622,mmem
1,46,152382,mmem
